
=== Per-layer Profiling Info ===
Layer Name                                                                                                Time (ms)
__module.model.rotary_emb/aten::cos/Cos                                                                       0.032
__module.model.layers.0.self_attn/aten::unsqueeze/Unsqueeze                                                   0.006
__module.model.rotary_emb/aten::sin/Sin                                                                       0.029
__module.model.layers.0.self_attn/aten::unsqueeze/Unsqueeze_1                                                 0.006
__module.model.layers.0.self_attn/aten::add/Add                                                               0.185
__module.model.layers.0.self_attn.k_proj/ov_ext::linear/MatMul                                                0.462
__module.model.layers.0.self_attn/aten::view/Reshape_1                                                        0.009
__module.model.layers.0.self_attn/aten::add/Add_1                                                             0.055
__module.model.layers.0.self_attn.v_proj/ov_ext::linear/MatMul                                                0.494
__module.model.layers.0.self_attn/aten::view/Reshape_2                                                        0.008
__module.model.layers.0.self_attn/aten::transpose/Transpose_2                                                 0.052
Gather_31559                                                                                                  0.005
ShapeOf_31566                                                                                                 0.005
Gather_31569                                                                                                  0.004
__module.model/aten::add/Add_1                                                                                0.006
__module.model/aten::arange/Range_1                                                                           0.007
__module.model/aten::unsqueeze/Unsqueeze_2                                                                    0.005
__module.model/aten::add/Add                                                                                  0.004
__module.model/aten::arange/Range                                                                             0.006
__module.model/aten::unsqueeze/Unsqueeze_5                                                                    0.005
attention_mask                                                                                                0.004
Convert_36861                                                                                                 0.009
Abs_36862                                                                                                     0.006
Clamp_36863                                                                                                   0.000
__module.model/aten::to/Convert_1                                                                             0.006
ShapeOf_36865                                                                                                 0.004
__module.model/aten::index/ReduceProd                                                                         0.008
__module.model/aten::index/Concat                                                                             0.005
__module.model/aten::index/Reshape                                                                            0.004
Squeeze_31570                                                                                                 0.005
__module.model/aten::arange/Range_2                                                                           0.005
__module.model/aten::unsqueeze/Unsqueeze_8                                                                    0.005
__module.model/aten::index/Split                                                                              0.005
__module.model/aten::index/Multiply                                                                           0.007
__module.model/aten::index/Add                                                                                0.000
__module.model/aten::index/Gather                                                                             0.009
__module.model/aten::index/Reshape_8                                                                          0.004
ShapeOf_36918                                                                                                 0.005
__module.model/aten::index/Reshape_12                                                                         0.005
Reshape_31574                                                                                                 0.004
Unsqueeze_209                                                                                                 0.004
__module.model/prim::ListConstruct                                                                            0.005
Broadcast_38044                                                                                               0.007
__module.model/aten::le/LessEqual                                                                             0.017
__module.model/aten::__and__/BitwiseAnd                                                                       0.000
__module.model/aten::__and__/BitwiseAnd_1                                                                     0.000
__module.model/aten::expand/Broadcast                                                                         0.000
__module.model/aten::where/Select                                                                             0.000
Reshape_31578                                                                                                 0.007
Add_44527                                                                                                     0.005
__module.model.layers.0.self_attn/aten::slice/Slice_15                                                        0.009
beam_idx                                                                                                      0.013
__module.model.layers.0.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                1.437
__module.model.layers.0.self_attn/aten::transpose/Transpose_3                                                 0.099
__module.model.layers.0.self_attn/aten::reshape/Reshape_2                                                     0.006
__module.model.layers.0.self_attn.o_proj/ov_ext::linear/MatMul                                                1.909
__module.model.layers.0/aten::add/Add                                                                         0.099
__module.model.layers.0.post_attention_layernorm/aten::mul/Multiply_1                                         0.050
__module.model.layers.0.mlp.gate_proj/ov_ext::linear/MatMul                                                   7.903
__module.model.layers.0.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.0.mlp.up_proj/ov_ext::linear/MatMul                                                     7.410
__module.model.layers.0.mlp/aten::mul/Multiply                                                                0.579
__module.model.layers.0.mlp.down_proj/ov_ext::linear/MatMul                                                   9.794
__module.model.layers.0/aten::add/Add_1                                                                       0.070
__module.model.layers.1.input_layernorm/aten::mul/Multiply_1                                                  0.052
__module.model.layers.1.self_attn.q_proj/ov_ext::linear/MatMul                                                1.971
__module.model.layers.1.self_attn/aten::view/Reshape                                                          0.008
__module.model.layers.1.self_attn/aten::add/Add                                                               0.103
__module.model.layers.1.self_attn.k_proj/ov_ext::linear/MatMul                                                1.697
__module.model.layers.1.self_attn/aten::view/Reshape_1                                                        0.007
__module.model.layers.1.self_attn/aten::add/Add_1                                                             0.035
__module.model.layers.1.self_attn.v_proj/ov_ext::linear/MatMul                                                0.488
__module.model.layers.1.self_attn/aten::view/Reshape_2                                                        0.008
__module.model.layers.1.self_attn/aten::transpose/Transpose_2                                                 0.022
__module.model.layers.1.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                1.033
__module.model.layers.1.self_attn/aten::transpose/Transpose_3                                                 0.061
__module.model.layers.1.self_attn/aten::reshape/Reshape_2                                                     0.006
__module.model.layers.1.self_attn.o_proj/ov_ext::linear/MatMul                                                2.000
__module.model.layers.1/aten::add/Add                                                                         0.049
__module.model.layers.1.post_attention_layernorm/aten::mul/Multiply_1                                         0.055
__module.model.layers.1.mlp.gate_proj/ov_ext::linear/MatMul                                                   7.945
__module.model.layers.1.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.1.mlp.up_proj/ov_ext::linear/MatMul                                                     6.853
__module.model.layers.1.mlp/aten::mul/Multiply                                                                0.465
__module.model.layers.1.mlp.down_proj/ov_ext::linear/MatMul                                                   9.653
__module.model.layers.1/aten::add/Add_1                                                                       0.097
__module.model.layers.2.input_layernorm/aten::mul/Multiply_1                                                  0.055
__module.model.layers.2.self_attn.q_proj/ov_ext::linear/MatMul                                                1.856
__module.model.layers.2.self_attn/aten::view/Reshape                                                          0.009
__module.model.layers.2.self_attn/aten::add/Add                                                               0.089
__module.model.layers.2.self_attn.k_proj/ov_ext::linear/MatMul                                                0.444
__module.model.layers.2.self_attn/aten::view/Reshape_1                                                        0.007
__module.model.layers.2.self_attn/aten::add/Add_1                                                             0.030
__module.model.layers.2.self_attn.v_proj/ov_ext::linear/MatMul                                                0.457
__module.model.layers.2.self_attn/aten::view/Reshape_2                                                        0.006
__module.model.layers.2.self_attn/aten::transpose/Transpose_2                                                 0.039
__module.model.layers.2.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.965
__module.model.layers.2.self_attn/aten::transpose/Transpose_3                                                 0.124
__module.model.layers.2.self_attn/aten::reshape/Reshape_2                                                     0.005
__module.model.layers.2.self_attn.o_proj/ov_ext::linear/MatMul                                                1.625
__module.model.layers.2/aten::add/Add                                                                         0.052
__module.model.layers.2.post_attention_layernorm/aten::mul/Multiply_1                                         0.048
__module.model.layers.2.mlp.gate_proj/ov_ext::linear/MatMul                                                   7.417
__module.model.layers.2.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.2.mlp.up_proj/ov_ext::linear/MatMul                                                     7.101
__module.model.layers.2.mlp/aten::mul/Multiply                                                                0.225
__module.model.layers.2.mlp.down_proj/ov_ext::linear/MatMul                                                   9.825
__module.model.layers.2/aten::add/Add_1                                                                       0.078
__module.model.layers.3.input_layernorm/aten::mul/Multiply_1                                                  0.053
__module.model.layers.3.self_attn.q_proj/ov_ext::linear/MatMul                                                1.993
__module.model.layers.3.self_attn/aten::view/Reshape                                                          0.009
__module.model.layers.3.self_attn/aten::add/Add                                                               0.096
__module.model.layers.3.self_attn.k_proj/ov_ext::linear/MatMul                                                0.460
__module.model.layers.3.self_attn/aten::view/Reshape_1                                                        0.007
__module.model.layers.3.self_attn/aten::add/Add_1                                                             0.030
__module.model.layers.3.self_attn.v_proj/ov_ext::linear/MatMul                                                0.464
__module.model.layers.3.self_attn/aten::view/Reshape_2                                                        0.007
__module.model.layers.3.self_attn/aten::transpose/Transpose_2                                                 0.016
__module.model.layers.3.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                1.031
__module.model.layers.3.self_attn/aten::transpose/Transpose_3                                                 0.059
__module.model.layers.3.self_attn/aten::reshape/Reshape_2                                                     0.005
__module.model.layers.3.self_attn.o_proj/ov_ext::linear/MatMul                                                1.658
__module.model.layers.3/aten::add/Add                                                                         0.052
__module.model.layers.3.post_attention_layernorm/aten::mul/Multiply_1                                         0.048
__module.model.layers.3.mlp.gate_proj/ov_ext::linear/MatMul                                                   7.473
__module.model.layers.3.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.3.mlp.up_proj/ov_ext::linear/MatMul                                                     6.828
__module.model.layers.3.mlp/aten::mul/Multiply                                                                0.214
__module.model.layers.3.mlp.down_proj/ov_ext::linear/MatMul                                                   9.812
__module.model.layers.3/aten::add/Add_1                                                                       0.066
__module.model.layers.4.input_layernorm/aten::mul/Multiply_1                                                  0.054
__module.model.layers.4.self_attn.q_proj/ov_ext::linear/MatMul                                                2.070
__module.model.layers.4.self_attn/aten::view/Reshape                                                          0.009
__module.model.layers.4.self_attn/aten::add/Add                                                               0.091
__module.model.layers.4.self_attn.k_proj/ov_ext::linear/MatMul                                                0.476
__module.model.layers.4.self_attn/aten::view/Reshape_1                                                        0.007
__module.model.layers.4.self_attn/aten::add/Add_1                                                             0.034
__module.model.layers.4.self_attn.v_proj/ov_ext::linear/MatMul                                                0.581
__module.model.layers.4.self_attn/aten::view/Reshape_2                                                        0.007
__module.model.layers.4.self_attn/aten::transpose/Transpose_2                                                 0.018
__module.model.layers.4.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.986
__module.model.layers.4.self_attn/aten::transpose/Transpose_3                                                 0.046
__module.model.layers.4.self_attn/aten::reshape/Reshape_2                                                     0.006
__module.model.layers.4.self_attn.o_proj/ov_ext::linear/MatMul                                                1.675
__module.model.layers.4/aten::add/Add                                                                         0.051
__module.model.layers.4.post_attention_layernorm/aten::mul/Multiply_1                                         0.047
__module.model.layers.4.mlp.gate_proj/ov_ext::linear/MatMul                                                   7.451
__module.model.layers.4.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.4.mlp.up_proj/ov_ext::linear/MatMul                                                     6.918
__module.model.layers.4.mlp/aten::mul/Multiply                                                                0.215
__module.model.layers.4.mlp.down_proj/ov_ext::linear/MatMul                                                   9.937
__module.model.layers.4/aten::add/Add_1                                                                       0.064
__module.model.layers.5.input_layernorm/aten::mul/Multiply_1                                                  0.052
__module.model.layers.5.self_attn.q_proj/ov_ext::linear/MatMul                                                1.982
__module.model.layers.5.self_attn/aten::view/Reshape                                                          0.009
__module.model.layers.5.self_attn/aten::add/Add                                                               0.095
__module.model.layers.5.self_attn.k_proj/ov_ext::linear/MatMul                                                0.459
__module.model.layers.5.self_attn/aten::view/Reshape_1                                                        0.007
__module.model.layers.5.self_attn/aten::add/Add_1                                                             0.030
__module.model.layers.5.self_attn.v_proj/ov_ext::linear/MatMul                                                0.455
__module.model.layers.5.self_attn/aten::view/Reshape_2                                                        0.007
__module.model.layers.5.self_attn/aten::transpose/Transpose_2                                                 0.015
__module.model.layers.5.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.912
__module.model.layers.5.self_attn/aten::transpose/Transpose_3                                                 0.045
__module.model.layers.5.self_attn/aten::reshape/Reshape_2                                                     0.006
__module.model.layers.5.self_attn.o_proj/ov_ext::linear/MatMul                                                1.833
__module.model.layers.5/aten::add/Add                                                                         0.055
__module.model.layers.5.post_attention_layernorm/aten::mul/Multiply_1                                         0.047
__module.model.layers.5.mlp.gate_proj/ov_ext::linear/MatMul                                                   7.352
__module.model.layers.5.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.5.mlp.up_proj/ov_ext::linear/MatMul                                                     6.913
__module.model.layers.5.mlp/aten::mul/Multiply                                                                0.215
__module.model.layers.5.mlp.down_proj/ov_ext::linear/MatMul                                                   9.931
__module.model.layers.5/aten::add/Add_1                                                                       0.065
__module.model.layers.6.input_layernorm/aten::mul/Multiply_1                                                  0.052
__module.model.layers.6.self_attn.q_proj/ov_ext::linear/MatMul                                                1.986
__module.model.layers.6.self_attn/aten::view/Reshape                                                          0.009
__module.model.layers.6.self_attn/aten::add/Add                                                               0.092
__module.model.layers.6.self_attn.k_proj/ov_ext::linear/MatMul                                                0.475
__module.model.layers.6.self_attn/aten::view/Reshape_1                                                        0.007
__module.model.layers.6.self_attn/aten::add/Add_1                                                             0.029
__module.model.layers.6.self_attn.v_proj/ov_ext::linear/MatMul                                                0.467
__module.model.layers.6.self_attn/aten::view/Reshape_2                                                        0.007
__module.model.layers.6.self_attn/aten::transpose/Transpose_2                                                 0.014
__module.model.layers.6.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.973
__module.model.layers.6.self_attn/aten::transpose/Transpose_3                                                 0.060
__module.model.layers.6.self_attn/aten::reshape/Reshape_2                                                     0.007
__module.model.layers.6.self_attn.o_proj/ov_ext::linear/MatMul                                                1.847
__module.model.layers.6/aten::add/Add                                                                         0.055
__module.model.layers.6.post_attention_layernorm/aten::mul/Multiply_1                                         0.048
__module.model.layers.6.mlp.gate_proj/ov_ext::linear/MatMul                                                   7.340
__module.model.layers.6.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.6.mlp.up_proj/ov_ext::linear/MatMul                                                     6.915
__module.model.layers.6.mlp/aten::mul/Multiply                                                                0.247
__module.model.layers.6.mlp.down_proj/ov_ext::linear/MatMul                                                   9.807
__module.model.layers.6/aten::add/Add_1                                                                       0.069
__module.model.layers.7.input_layernorm/aten::mul/Multiply_1                                                  0.056
__module.model.layers.7.self_attn.q_proj/ov_ext::linear/MatMul                                                1.771
__module.model.layers.7.self_attn/aten::view/Reshape                                                          0.009
__module.model.layers.7.self_attn/aten::add/Add                                                               0.098
__module.model.layers.7.self_attn.k_proj/ov_ext::linear/MatMul                                                0.449
__module.model.layers.7.self_attn/aten::view/Reshape_1                                                        0.007
__module.model.layers.7.self_attn/aten::add/Add_1                                                             0.041
__module.model.layers.7.self_attn.v_proj/ov_ext::linear/MatMul                                                0.456
__module.model.layers.7.self_attn/aten::view/Reshape_2                                                        0.007
__module.model.layers.7.self_attn/aten::transpose/Transpose_2                                                 0.030
__module.model.layers.7.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.931
__module.model.layers.7.self_attn/aten::transpose/Transpose_3                                                 0.078
__module.model.layers.7.self_attn/aten::reshape/Reshape_2                                                     0.005
__module.model.layers.7.self_attn.o_proj/ov_ext::linear/MatMul                                                1.807
__module.model.layers.7/aten::add/Add                                                                         0.050
__module.model.layers.7.post_attention_layernorm/aten::mul/Multiply_1                                         0.046
__module.model.layers.7.mlp.gate_proj/ov_ext::linear/MatMul                                                   7.196
__module.model.layers.7.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.7.mlp.up_proj/ov_ext::linear/MatMul                                                     6.561
__module.model.layers.7.mlp/aten::mul/Multiply                                                                0.217
__module.model.layers.7.mlp.down_proj/ov_ext::linear/MatMul                                                   9.853
__module.model.layers.7/aten::add/Add_1                                                                       0.064
__module.model.layers.8.input_layernorm/aten::mul/Multiply_1                                                  0.056
__module.model.layers.8.self_attn.q_proj/ov_ext::linear/MatMul                                                2.143
__module.model.layers.8.self_attn/aten::view/Reshape                                                          0.009
__module.model.layers.8.self_attn/aten::add/Add                                                               0.089
__module.model.layers.8.self_attn.k_proj/ov_ext::linear/MatMul                                                0.446
__module.model.layers.8.self_attn/aten::view/Reshape_1                                                        0.007
__module.model.layers.8.self_attn/aten::add/Add_1                                                             0.029
__module.model.layers.8.self_attn.v_proj/ov_ext::linear/MatMul                                                0.453
__module.model.layers.8.self_attn/aten::view/Reshape_2                                                        0.007
__module.model.layers.8.self_attn/aten::transpose/Transpose_2                                                 0.015
__module.model.layers.8.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.959
__module.model.layers.8.self_attn/aten::transpose/Transpose_3                                                 0.043
__module.model.layers.8.self_attn/aten::reshape/Reshape_2                                                     0.006
__module.model.layers.8.self_attn.o_proj/ov_ext::linear/MatMul                                                1.624
__module.model.layers.8/aten::add/Add                                                                         0.049
__module.model.layers.8.post_attention_layernorm/aten::mul/Multiply_1                                         0.050
__module.model.layers.8.mlp.gate_proj/ov_ext::linear/MatMul                                                   7.065
__module.model.layers.8.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.8.mlp.up_proj/ov_ext::linear/MatMul                                                     6.596
__module.model.layers.8.mlp/aten::mul/Multiply                                                                0.215
__module.model.layers.8.mlp.down_proj/ov_ext::linear/MatMul                                                   9.616
__module.model.layers.8/aten::add/Add_1                                                                       0.068
__module.model.layers.9.input_layernorm/aten::mul/Multiply_1                                                  0.052
__module.model.layers.9.self_attn.q_proj/ov_ext::linear/MatMul                                                2.017
__module.model.layers.9.self_attn/aten::view/Reshape                                                          0.009
__module.model.layers.9.self_attn/aten::add/Add                                                               0.090
__module.model.layers.9.self_attn.k_proj/ov_ext::linear/MatMul                                                0.440
__module.model.layers.9.self_attn/aten::view/Reshape_1                                                        0.009
__module.model.layers.9.self_attn/aten::add/Add_1                                                             0.030
__module.model.layers.9.self_attn.v_proj/ov_ext::linear/MatMul                                                0.437
__module.model.layers.9.self_attn/aten::view/Reshape_2                                                        0.007
__module.model.layers.9.self_attn/aten::transpose/Transpose_2                                                 0.015
__module.model.layers.9.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.950
__module.model.layers.9.self_attn/aten::transpose/Transpose_3                                                 0.043
__module.model.layers.9.self_attn/aten::reshape/Reshape_2                                                     0.006
__module.model.layers.9.self_attn.o_proj/ov_ext::linear/MatMul                                                1.588
__module.model.layers.9/aten::add/Add                                                                         0.051
__module.model.layers.9.post_attention_layernorm/aten::mul/Multiply_1                                         0.050
__module.model.layers.9.mlp.gate_proj/ov_ext::linear/MatMul                                                   7.088
__module.model.layers.9.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.9.mlp.up_proj/ov_ext::linear/MatMul                                                     6.575
__module.model.layers.9.mlp/aten::mul/Multiply                                                                0.213
__module.model.layers.9.mlp.down_proj/ov_ext::linear/MatMul                                                   9.595
__module.model.layers.9/aten::add/Add_1                                                                       0.067
__module.model.layers.10.input_layernorm/aten::mul/Multiply_1                                                 0.053
__module.model.layers.10.self_attn.q_proj/ov_ext::linear/MatMul                                               1.732
__module.model.layers.10.self_attn/aten::view/Reshape                                                         0.010
__module.model.layers.10.self_attn/aten::add/Add                                                              0.088
__module.model.layers.10.self_attn.k_proj/ov_ext::linear/MatMul                                               0.442
__module.model.layers.10.self_attn/aten::view/Reshape_1                                                       0.007
__module.model.layers.10.self_attn/aten::add/Add_1                                                            0.032
__module.model.layers.10.self_attn.v_proj/ov_ext::linear/MatMul                                               1.079
__module.model.layers.10.self_attn/aten::view/Reshape_2                                                       0.007
__module.model.layers.10.self_attn/aten::transpose/Transpose_2                                                0.016
__module.model.layers.10.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention               0.935
__module.model.layers.10.self_attn/aten::transpose/Transpose_3                                                0.058
__module.model.layers.10.self_attn/aten::reshape/Reshape_2                                                    0.005
__module.model.layers.10.self_attn.o_proj/ov_ext::linear/MatMul                                               1.685
__module.model.layers.10/aten::add/Add                                                                        0.047
__module.model.layers.10.post_attention_layernorm/aten::mul/Multiply_1                                        0.048
__module.model.layers.10.mlp.gate_proj/ov_ext::linear/MatMul                                                  7.159
__module.model.layers.10.mlp.act_fn/aten::silu/Swish                                                          0.000
__module.model.layers.10.mlp.up_proj/ov_ext::linear/MatMul                                                    6.680
__module.model.layers.10.mlp/aten::mul/Multiply                                                               0.212
__module.model.layers.10.mlp.down_proj/ov_ext::linear/MatMul                                                  9.526
__module.model.layers.10/aten::add/Add_1                                                                      0.062
__module.model.layers.11.input_layernorm/aten::mul/Multiply_1                                                 0.054
__module.model.layers.11.self_attn.q_proj/ov_ext::linear/MatMul                                               1.965
__module.model.layers.11.self_attn/aten::view/Reshape                                                         0.009
__module.model.layers.11.self_attn/aten::add/Add                                                              0.092
__module.model.layers.11.self_attn.k_proj/ov_ext::linear/MatMul                                               0.443
__module.model.layers.11.self_attn/aten::view/Reshape_1                                                       0.006
__module.model.layers.11.self_attn/aten::add/Add_1                                                            0.033
__module.model.layers.11.self_attn.v_proj/ov_ext::linear/MatMul                                               0.458
__module.model.layers.11.self_attn/aten::view/Reshape_2                                                       0.009
__module.model.layers.11.self_attn/aten::transpose/Transpose_2                                                0.014
__module.model.layers.11.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention               0.903
__module.model.layers.11.self_attn/aten::transpose/Transpose_3                                                0.044
__module.model.layers.11.self_attn/aten::reshape/Reshape_2                                                    0.005
__module.model.layers.11.self_attn.o_proj/ov_ext::linear/MatMul                                               1.608
__module.model.layers.11/aten::add/Add                                                                        0.051
__module.model.layers.11.post_attention_layernorm/aten::mul/Multiply_1                                        0.049
__module.model.layers.11.mlp.gate_proj/ov_ext::linear/MatMul                                                  7.231
__module.model.layers.11.mlp.act_fn/aten::silu/Swish                                                          0.000
__module.model.layers.11.mlp.up_proj/ov_ext::linear/MatMul                                                    6.808
__module.model.layers.11.mlp/aten::mul/Multiply                                                               0.213
__module.model.layers.11.mlp.down_proj/ov_ext::linear/MatMul                                                  9.867
__module.model.layers.11/aten::add/Add_1                                                                      0.068
__module.model.layers.12.input_layernorm/aten::mul/Multiply_1                                                 0.054
__module.model.layers.12.self_attn.q_proj/ov_ext::linear/MatMul                                               1.832
__module.model.layers.12.self_attn/aten::view/Reshape                                                         0.009
__module.model.layers.12.self_attn/aten::add/Add                                                              0.090
__module.model.layers.12.self_attn.k_proj/ov_ext::linear/MatMul                                               0.425
__module.model.layers.12.self_attn/aten::view/Reshape_1                                                       0.006
__module.model.layers.12.self_attn/aten::add/Add_1                                                            0.030
__module.model.layers.12.self_attn.v_proj/ov_ext::linear/MatMul                                               0.437
__module.model.layers.12.self_attn/aten::view/Reshape_2                                                       0.007
__module.model.layers.12.self_attn/aten::transpose/Transpose_2                                                0.014
__module.model.layers.12.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention               0.921
__module.model.layers.12.self_attn/aten::transpose/Transpose_3                                                0.046
__module.model.layers.12.self_attn/aten::reshape/Reshape_2                                                    0.006
__module.model.layers.12.self_attn.o_proj/ov_ext::linear/MatMul                                               1.655
__module.model.layers.12/aten::add/Add                                                                        0.049
__module.model.layers.12.post_attention_layernorm/aten::mul/Multiply_1                                        0.049
__module.model.layers.12.mlp.gate_proj/ov_ext::linear/MatMul                                                  7.121
__module.model.layers.12.mlp.act_fn/aten::silu/Swish                                                          0.000
__module.model.layers.12.mlp.up_proj/ov_ext::linear/MatMul                                                    6.497
__module.model.layers.12.mlp/aten::mul/Multiply                                                               0.214
__module.model.layers.12.mlp.down_proj/ov_ext::linear/MatMul                                                  9.186
__module.model.layers.12/aten::add/Add_1                                                                      0.058
__module.model.layers.13.input_layernorm/aten::mul/Multiply_1                                                 0.052
__module.model.layers.13.self_attn.q_proj/ov_ext::linear/MatMul                                               1.745
__module.model.layers.13.self_attn/aten::view/Reshape                                                         0.010
__module.model.layers.13.self_attn/aten::add/Add                                                              0.090
__module.model.layers.13.self_attn.k_proj/ov_ext::linear/MatMul                                               0.430
__module.model.layers.13.self_attn/aten::view/Reshape_1                                                       0.007
__module.model.layers.13.self_attn/aten::add/Add_1                                                            0.029
__module.model.layers.13.self_attn.v_proj/ov_ext::linear/MatMul                                               0.455
__module.model.layers.13.self_attn/aten::view/Reshape_2                                                       0.007
__module.model.layers.13.self_attn/aten::transpose/Transpose_2                                                0.015
__module.model.layers.13.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention               0.890
__module.model.layers.13.self_attn/aten::transpose/Transpose_3                                                0.045
__module.model.layers.13.self_attn/aten::reshape/Reshape_2                                                    0.006
__module.model.layers.13.self_attn.o_proj/ov_ext::linear/MatMul                                               1.747
__module.model.layers.13/aten::add/Add                                                                        0.051
__module.model.layers.13.post_attention_layernorm/aten::mul/Multiply_1                                        0.045
__module.model.layers.13.mlp.gate_proj/ov_ext::linear/MatMul                                                  6.876
__module.model.layers.13.mlp.act_fn/aten::silu/Swish                                                          0.000
__module.model.layers.13.mlp.up_proj/ov_ext::linear/MatMul                                                    6.319
__module.model.layers.13.mlp/aten::mul/Multiply                                                               0.214
__module.model.layers.13.mlp.down_proj/ov_ext::linear/MatMul                                                  9.778
__module.model.layers.13/aten::add/Add_1                                                                      0.070
__module.model.layers.14.input_layernorm/aten::mul/Multiply_1                                                 0.054
__module.model.layers.14.self_attn.q_proj/ov_ext::linear/MatMul                                               1.751
__module.model.layers.14.self_attn/aten::view/Reshape                                                         0.008
__module.model.layers.14.self_attn/aten::add/Add                                                              0.094
__module.model.layers.14.self_attn.k_proj/ov_ext::linear/MatMul                                               0.449
__module.model.layers.14.self_attn/aten::view/Reshape_1                                                       0.007
__module.model.layers.14.self_attn/aten::add/Add_1                                                            0.028
__module.model.layers.14.self_attn.v_proj/ov_ext::linear/MatMul                                               0.477
__module.model.layers.14.self_attn/aten::view/Reshape_2                                                       0.007
__module.model.layers.14.self_attn/aten::transpose/Transpose_2                                                0.017
__module.model.layers.14.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention               0.948
__module.model.layers.14.self_attn/aten::transpose/Transpose_3                                                0.042
__module.model.layers.14.self_attn/aten::reshape/Reshape_2                                                    0.005
__module.model.layers.14.self_attn.o_proj/ov_ext::linear/MatMul                                               1.604
__module.model.layers.14/aten::add/Add                                                                        0.051
__module.model.layers.14.post_attention_layernorm/aten::mul/Multiply_1                                        0.048
__module.model.layers.14.mlp.gate_proj/ov_ext::linear/MatMul                                                  7.134
__module.model.layers.14.mlp.act_fn/aten::silu/Swish                                                          0.000
__module.model.layers.14.mlp.up_proj/ov_ext::linear/MatMul                                                    6.307
